user,beer,brewery,style,user_rating,global_rating,abv,ibu,check_in_ts
austinharcarik,Water Ski Fight,Modern Times Beer,IPA - American,4.5,N/A,0.06,40,2022-07-08 19:58:30
austinharcarik,Dungeon Map,Modern Times Beer,IPA - American,3.5,3.83,0.07200000000000001,60,2022-06-28 20:22:33
austinharcarik,Tank Tops & Tan Lines,Tarantula Hill Brewing Co,IPA - American,3.75,3.71,0.055,0,2022-06-28 20:16:25
austinharcarik,Just Outstanding IPA,Kern River Brewing Company,IPA - American,4.25,3.95,0.068,65,2022-06-28 19:32:07
austinharcarik,Secret Catapult,Belching Beaver Brewery,IPA - New England / Hazy,4.0,3.87,0.065,45,2022-06-23 18:42:20
austinharcarik,Overcast Cloud Wish,Belching Beaver Brewery,IPA - New England / Hazy,3.5,3.76,0.065,0,2022-06-23 18:41:42
austinharcarik,Chief Peak IPA,Topa Topa Brewing Co.,IPA - American,4.5,3.81,0.07,75,2022-06-21 19:25:33
austinharcarik,"West Coast IPA (-2013, 2019-)",Green Flash Brewing Company,IPA - American,4.0,3.84,0.07,95,2022-06-14 18:30:34
austinharcarik,StereoHopic IPA Vol. 4 (Lotus & Sabro),Lagunitas Brewing Company,IPA - American,4.0,3.78,0.07200000000000001,65,2022-05-30 15:56:59
austinharcarik,Mind Haze,Firestone Walker Brewing Company,IPA - New England / Hazy,3.25,3.77,0.062,40,2022-05-23 18:39:31
austinharcarik,Racing Fuel,Garage Brewing Co,IPA - New England / Hazy,3.5,3.54,0.065,0,2022-05-21 11:19:05
austinharcarik,Nirvana IPA,Brewery Ommegang,IPA - American,4.5,3.73,0.065,60,2022-05-20 17:20:36
austinharcarik,Boo Koo,Mother Earth Brewing Company,IPA - American,3.5,3.78,0.065,58,2022-05-07 14:07:47
austinharcarik,Velvet Glow,Russian River Brewing Company,Lager - Helles,3.75,3.79,0.0475,20,2022-05-03 22:08:34
austinharcarik,Dank Dust,Elysian Brewing Company,IPA - American,1.75,3.65,0.08199999999999999,62,2022-04-28 18:55:48
austinharcarik,Golden Monkey,Victory Brewing Company,Belgian Tripel,3.75,3.75,0.095,25,2022-04-28 18:19:57
austinharcarik,2XIPA,Southern Tier Brewing Company,IPA - Imperial / Double,4.25,3.79,0.08199999999999999,80,2022-04-24 19:57:43
austinharcarik,Broken Skull IPA,El Segundo Brewing Company,IPA - American,3.0,3.8,0.067,67,2022-04-10 20:52:30
austinharcarik,Quasimodo West Coast IPA,Pizza Port Brewing Company,IPA - American,3.25,3.82,0.07,0,2022-04-10 19:34:17
austinharcarik,Denogginizer,Drake's Brewing Company,IPA - Imperial / Double,4.25,3.91,0.0975,91,2022-04-09 20:49:59
austinharcarik,IPA,Smog City Brewing Co.,IPA - American,4.0,3.75,0.073,0,2022-04-03 21:23:14
austinharcarik,The Waldos' Special Ale,Lagunitas Brewing Company,IPA - Triple,3.75,4.05,0.11699999999999999,100,2022-04-02 20:16:58
austinharcarik,"Paradisio (Dragon Fruit, Passion Fruit, Coconut)",Great Notion Brewing,Sour - Fruited,0.25,4.19,0.075,0,2022-04-02 18:37:54
austinharcarik,2021 Lotus Flower Ipa,Pariah Brewing Company,IPA - New England / Hazy,4.25,3.91,0.068,43,2022-04-01 22:22:03
austinharcarik,Picnic Lightning,Brouwerij West,IPA - American,4.5,4.02,0.068,0,2022-03-28 19:46:04
mathfreak1110,Hazer Tag,Odell Brewing Co.,IPA - New England / Hazy,4.25,3.86,0.07,38,2022-07-09 20:44:41
mathfreak1110,Stone Tangerine Express Hazy IPA,Stone Brewing,IPA - American,4.0,3.69,0.067,75,2022-07-04 21:21:43
mathfreak1110,Warped Speed,Lake Louie Brewing,Scotch Ale / Wee Heavy,3.75,3.75,0.069,24,2022-07-01 21:52:45
mathfreak1110,M-43 N.E. India Pale Ale,Old Nation Brewing Co.,IPA - New England / Hazy,4.25,4.18,0.068,65,2022-06-18 21:47:06
mathfreak1110,Myrcenary Double IPA,Odell Brewing Co.,IPA - Imperial / Double,4.25,4.02,0.09300000000000001,70,2022-06-18 19:56:35
mathfreak1110,Mexican Honey Noir,Indeed Brewing Company,Lager - Dark,3.25,3.77,0.062,30,2022-06-15 20:45:18
mathfreak1110,Mr. Plow,Very Nice Brewing Company,IPA - Imperial / Double,4.25,3.93,0.08,117,2022-06-11 20:30:52
mathfreak1110,Fuggly & Brown Ale,Very Nice Brewing Company,Brown Ale - American,3.5,3.53,0.059000000000000004,23,2022-06-11 20:28:21
mathfreak1110,Game of Thrones: My Watch Has Ended,Brewery Ommegang,Brown Ale - Imperial / Double,3.5,3.78,0.08,27,2022-06-11 00:34:34
mathfreak1110,The Godfather,Eagle Park Brewing Company,IPA - New England / Hazy,3.5,4.04,0.07,0,2022-06-04 20:57:35
mathfreak1110,Corona Extra,Grupo Modelo,Lager - Mexican,2.5,3.11,0.045,18,2022-05-28 23:13:58
mathfreak1110,Corona Familiar,Grupo Modelo,Lager - American,3.25,3.28,0.048,0,2022-05-28 23:11:33
mathfreak1110,Atomic Torpedo,Sierra Nevada Brewing Co.,IPA - Imperial / Double,4.0,3.91,0.08199999999999999,50,2022-05-26 21:31:44
mathfreak1110,Whammy,Slice Beer Company,Red Ale - Imperial / Double,4.0,3.98,0.09,0,2022-05-25 21:20:41
mathfreak1110,Foggy Concepts,Flatland Brewing Company,IPA - New England / Hazy,4.25,3.81,0.066,30,2022-05-25 18:40:00
mathfreak1110,Superior Pale Ale,Earth Rider Brewery,Pale Ale - American,3.5,3.71,0.055,56,2022-05-21 23:33:25
mathfreak1110,Mango Double Marbles,More Brewing Company,IPA - Imperial / Double Milkshake,4.0,4.06,0.08,0,2022-05-21 21:41:20
mathfreak1110,Raspbecrush,Earth Rider Brewery,Sour - Fruited,3.75,3.81,0.052000000000000005,15,2022-05-21 19:34:50
mathfreak1110,Stanford's IPA,Foxtown Brewing,IPA - American,3.5,3.8,0.075,64,2022-05-21 19:33:56
mathfreak1110,Reserve Series Strong Ale Aged In Bourbon Barrels,Foxtown Brewing,Strong Ale - American,3.75,4.2,0.105,0,2022-05-21 00:32:17
mathfreak1110,Oh'Fer,Broken Bat Brewing Co,IPA - American,3.75,3.47,0.067,0,2022-05-19 16:57:32
mathfreak1110,Juice'd,Broken Bat Brewing Co,IPA - Imperial / Double,3.5,3.72,0.10099999999999999,0,2022-05-19 16:56:04
mathfreak1110,Junior,Broken Bat Brewing Co,Stout - Other,3.5,3.96,0.081,0,2022-05-19 14:43:10
mathfreak1110,Hamilton's Party Oatmeal Stout,Foxtown Brewing,Stout - Oatmeal,3.5,3.55,0.06,25,2022-05-18 21:43:39
mathfreak1110,Bourbon Barrel Aged Highland Charge (2021),Heathen Brewing,Scotch Ale / Wee Heavy,4.0,4.14,0.11,20,2022-05-11 22:14:39
